Champ,Pick Ratio,Ban Ratio
Aatrox,6.2,4.33
Ahri,7.28,3.2
Akali,3.51,4.28
Alistar,3.5,0.66
Amumu,6.62,1.53
Anivia,2.89,0.99
Annie,3.6,1.04
Aphelios,7.78,38.84
Ashe,12.47,1.91
Aurelion Sol,0.69,0.21
Azir,1.91,0.3
Bard,5.34,1.09
Blitzcrank,10,30.89
Brand,7.97,6.87
Braum,3.39,0.8
Caitlyn,20.85,15.25
Camille,3.17,0.61
Cassiopeia,4.39,4.38
Cho'Gath,4.37,1.07
Corki,0.92,0.29
Darius,13.92,50.88
Diana,11.69,28.17
Dr. Mundo,4.69,2.37
Draven,5.24,5.75
Ekko,14.78,26.85
Elise,5.93,6.4
Evelynn,2.98,3.52
Ezreal,22.89,3.53
Fiddlesticks,2.89,0.74
Fiora,7.35,8.62
Fizz,8.4,18.22
Galio,2.95,0.47
Gangplank,2.96,0.75
Garen,18.97,21.09
Gnar,2.66,0.53
Gragas,2.87,0.19
Graves,7.61,1.67
Hecarim,3.22,0.91
Heimerdinger,2.77,1.23
Illaoi,3.81,6.22
Irelia,6.63,2.18
Ivern,0.95,0.27
Janna,5.94,0.48
Jarvan IV,7.14,1.07
Jax,11.37,8.66
Jayce,1.97,0.28
Jhin,16.23,2.32
Jinx,11.43,0.96
Kai'Sa,13.48,1.38
Kalista,4.13,1.11
Karma,4.17,0.26
Karthus,3.77,2.24
Kassadin,7.39,17.12
Katarina,7.66,6.85
Kayle,4.01,0.86
Kayn,7.79,3.03
Kennen,1.85,0.55
Kha'Zix,6.85,2.77
Kindred,2.35,0.45
Kled,3.42,2.05
Kog'Maw,1.71,0.11
LeBlanc,5.73,5.01
Lee Sin,15.46,12.42
Leona,11.8,27.44
Lissandra,2.33,0.43
Lucian,14.94,1.79
Lulu,6.58,0.87
Lux,15.78,2.96
Malphite,8.77,3.54
Malzahar,4.62,5.75
Maokai,5.14,0.54
Master Yi,11.41,43.62
Miss Fortune,21.36,9.33
Mordekaiser,11.8,20.34
Morgana,11.39,26.75
Nami,10.89,0.84
Nasus,6.7,4.1
Nautilus,12.93,26.23
Neeko,3.86,0.53
Nidalee,2.41,0.28
Nocturne,6.23,3
Nunu & Willump,3.68,0.75
Olaf,9.01,16.8
Orianna,4.58,0.55
Ornn,8.05,19.6
Pantheon,5.23,1.56
Poppy,3.04,0.41
Pyke,10.4,14.36
Qiyana,3.7,2.6
Quinn,2.22,0.92
Rakan,3.47,0.21
Rammus,3.73,4.01
Rek'Sai,3.69,1.84
Renekton,7.85,4.12
Rengar,5.44,3.77
Riven,4.73,1.29
Rumble,3.37,0.67
Ryze,4.36,1
Sejuani,3.96,0.62
Senna,19.03,31.12
Sett,15.67,43.16
Shaco,7.22,11.56
Shen,7.22,0.88
Shyvana,4.7,1.24
Singed,3.13,0.68
Sion,2.64,0.16
Sivir,3.8,0.39
Skarner,0.84,0.09
Sona,5.09,0.46
Soraka,5.81,3.73
Swain,5.5,2.04
Sylas,10.17,7.54
Syndra,5.97,1.8
Tahm Kench,2.15,0.52
Taliyah,1.79,0.1
Talon,6.92,6.69
Taric,3.94,2.08
Teemo,8,7.19
Thresh,16.05,6.21
Tristana,7.3,0.79
Trundle,6.48,1.67
Tryndamere,8,10.07
Twisted Fate,3.98,0.25
Twitch,4.36,0.51
Udyr,2.9,1.04
Urgot,3.11,0.95
Varus,5.5,0.23
Vayne,15.07,7.58
Veigar,8.19,3.63
Vel'Koz,5.86,0.97
Vi,4.74,0.69
Viktor,3.5,0.35
Vladimir,8.83,13.12
Volibear,5.09,0.92
Warwick,10.44,6.8
Wukong,6.53,9.77
Xayah,4.66,0.37
Xerath,5.44,1.17
Xin Zhao,3.03,0.37
Yasuo,17.48,43.41
Yorick,2.96,1.33
Yuumi,10.52,14.68
Zac,9.23,7.62
Zed,8.92,19
Ziggs,2.88,0.19
Zilean,3.5,0.69
Zoe,4.32,3.41
Zyra,5.23,2.52